"id";"nome";"cpf";"telefone";"email";"data_nasc";"data_cad";"ativo"
1;"Isabella Lívia Cecília Drumond";"81767919891";"1137753720";"isabella_drumond@kmspublicidade.com.br";"1949-03-07";"2024-04-18 08:41:42";"1"
2;"Luana Luna Vieira";"40714319899";"1135803172";"luana.luna.vieira@itatiaia.net";"1974-03-06";"2024-04-18 08:41:42";"1"
3;"Cauã João Lucca Cardoso";"87077438821";"1127887313";"caua_joao_cardoso@ssala.com.br";"1993-01-05";"2024-04-18 08:41:42";"1"
4;"Henry Levi Nunes";"71555729851";"1135351570";"henry_nunes@corp.inf.br";"1997-04-11";"2024-04-18 08:41:42";"1"
5;"Diogo Joaquim Lucas Nogueira";"39940766840";"1129610652";"diogo.joaquim.nogueira@callan.com.br";"1968-04-14";"2024-04-18 08:41:42";"1"
6;"Ester Sophie da Conceição";"69331427875";"1138714395";"estersophiedaconceicao@danielvasconcelos.com.br";"2005-02-06";"2024-04-18 08:41:42";"1"
7;"Aurora Mirella Betina Bernardes";"75131453852";"1135914605";"auroramirellabernardes@iblojas.com.br";"1976-01-12";"2024-04-18 08:41:42";"1"
8;"Marcos Vinicius Giovanni Carvalho";"51032813849";"1138634717";"marcos-carvalho80@haldex.com";"1975-02-25";"2024-04-18 08:41:42";"1"
9;"Tomás Tiago da Costa";"64688698895";"1128371687";"tomastiagodacosta@bravo.com.br";"1971-02-07";"2024-04-18 08:41:42";"1"
10;"Carlos Augusto Alves";"52057114856";"1135605022";"carlos-alves72@r7.com";"1971-01-11";"2024-04-18 08:41:42";"1"
11;"Marina Ester da Mota";"34606837837";"1128723871";"marina.ester.damota@w3ag.com";"1947-01-27";"2024-04-18 08:41:42";"1"
12;"Letícia Lavínia da Luz";"68574924849";"1125811768";"leticia_daluz@cordeiromaquinas.com.br";"2002-04-02";"2024-04-18 08:41:42";"1"
13;"Yago Thomas Benício Lima";"57798779809";"1126173140";"yago.thomas.lima@machiv.com.br";"1978-03-07";"2024-04-18 08:41:42";"1"
14;"Gael Eduardo João Silveira";"83031423801";"1128488882";"gaeleduardosilveira@grupogil.com.br";"1991-02-07";"2024-04-18 08:41:42";"1"
15;"Cristiane Luana Ayla Ribeiro";"94276592895";"1135735288";"cristiane_ribeiro@castromobile.com.br";"1980-04-01";"2024-04-18 08:41:42";"1"
16;"Hugo Davi Guilherme Corte Real";"30430175876";"1129458347";"hugo-cortereal83@cassianoricardo.com.br";"1954-01-01";"2024-04-18 08:41:42";"1"
17;"Caroline Alessandra Barbosa";"17275920859";"1127638713";"caroline-barbosa97@deze7.com.br";"1977-03-07";"2024-04-18 08:41:42";"1"
18;"Sebastião Filipe Mário Assunção";"65712387808";"1137457917";"sebastiao-assuncao74@controtel.com.br";"1990-03-20";"2024-04-18 08:41:42";"1"
19;"Theo Pedro Geraldo Aparício";"70601240804";"1137294821";"theo_aparicio@credendio.com.br";"1953-04-17";"2024-04-18 08:41:42";"1"
20;"Mariah Isabel de Paula";"19155566863";"1129843494";"mariahisabeldepaula@schaeffler.com";"1950-02-17";"2024-04-18 08:41:42";"1"
21;"Eloá Isadora Freitas";"71223994864";"1138079379";"eloa_freitas@vizzacchi.com.br";"1992-03-21";"2024-04-18 08:41:42";"1"
22;"Vicente Bruno da Rocha";"13378062851";"1139726115";"vicente_darocha@viacorte.com.br";"1982-04-08";"2024-04-18 08:41:42";"1"
23;"Mario Livro Cílios Drumond";"81767915891";"1137753920";"marios_drumond@kmspublicidade.com.br";"1949-03-07";"2024-04-25 08:41:41";"1"
24;"Marcos Gomes Faria";"12345678911";"12389123545";"Marcos@gmail.com";"1992-03-21";"2024-04-25 08:47:32";"1"
